timestamp,processing time,predicted pt
75379,5,4.874502542
75381,5,2.579961892
75381,4,2.507755872
75388,2,2.477260238
75396,8,2.507755872
75396,8,2.579961892
75396,1,1.643709601
75400,3,2.477260238
75401,1,2.028685746
75401,2,4.540150075
75401,1,2.322540131
75401,4,2.322540131
75401,2,2.322540131
75401,2,2.322540131
75401,3,2.477260238
75401,3,2.507755872
75401,1,2.477260238
75407,2,2.506368642
75409,2,2.477260238
75436,2,2.506368642
75436,3,2.477260238
75436,4,2.477260238
75436,3,2.507755872
75436,1,2.477260238
75436,4,2.507755872
75436,4,2.477260238
75438,2,2.507755872
75438,1,2.565958813
75439,1,2.477260238
75439,1,2.477260238
75439,1,4.307966716
75440,2,2.477260238
75440,2,7.74860972
75443,6,2.507755872
75443,1,5.868170338
75443,6,2.477260238
75443,3,2.55232193
75451,8,2.507755872
75457,4,2.477260238
75463,9,2.565958813
75472,1,1.833551349
75476,1,2.565958813
75477,1,2.565958813
75482,4,2.565958813
75482,4,2.565958813
75499,9,4.874502542
75515,1,2.537477922
75515,3,2.567973555
75528,7,2.537477922
75528,1,2.567973555
75560,1,2.626176496
75560,1,2.626176496
75560,1,2.626176496
75580,1,2.626176496
75583,1,2.477260238
75583,1,2.477260238
75587,7,2.477260238
75592,4,2.477260238
75592,1,2.827137916
75593,3,2.477260238
75594,1,2.767547746
75595,4,2.477260238
75595,1,2.767547746
75596,1,2.767547746
75613,2,2.477260238
75656,1,2.506368642
75656,1,2.341773727
75656,1,2.506368642
75656,1,2.506368642
75675,8,3.052124168
75676,1,3.052124168
75676,1,3.052124168
75676,1,3.052124168
75676,7,3.243693357
75676,7,3.052124168
75676,1,3.243693357
75678,1,2.506368642
75678,1,2.506368642
75679,1,2.506368642
75686,7,2.506368642
75688,3,1.76706227
75688,1,1.76706227
75688,1,1.76706227
75688,3,8.453341849
75689,6,2.506368642
75689,6,2.506368642
75691,1,2.506368642
75691,1,1.76706227
75691,1,2.506368642
75696,4,2.477260238
75696,4,2.477260238
75709,7,3.287477952
75709,7,3.052124168
75710,7,3.111714338
75717,2,2.824918337
75718,2,2.626176496
75718,2,2.567973555
75720,5,2.764700653
75720,3,4.934092712
75720,5,2.565958813
75721,4,2.626176496
75721,4,2.736581766
75721,4,2.736581766
75728,12,9.258858205
75742,1,7.047062005
75746,11,8.798252144
75777,4,2.626176496
75777,4,2.537477922
75778,2,2.537477922
75778,2,2.626176496
75778,1,4.994310396
75778,3,2.537477922
75778,1,2.537477922
75785,1,2.626176496
75785,1,2.352148305
75788,7,4.994310396
75788,7,2.753393673
75793,1,2.537477922
75802,1,2.731666372
75822,3,2.537477922
75822,4,2.537477922
75822,1,1.707192081
75822,5,2.537477922
75822,2,2.537477922
75822,5,2.537477922
75822,4,2.537477922
75822,3,2.537477922
75822,1,2.537477922
75822,2,2.537477922
75822,5,2.736581766
75822,3,2.567973555
75823,4,2.567973555
75823,2,2.537477922
75823,1,2.537477922
75823,2,2.537477922
75823,3,2.567973555
75828,1,2.537477922
75828,1,2.567973555
75835,1,2.507755872
75840,3,2.477260238
75841,1,2.322540131
75852,3,2.55232193
75858,1,2.55232193
75858,1,2.506368642
75860,19,22.95785485
75861,2,2.6119121
75877,1,1.703820634
75880,1,1.60675744
75882,2,2.477260238
75882,1,2.507755872
75887,1,1.60675744
75896,4,2.55232193
75898,6,2.477260238
75899,6,2.525659488
75900,6,2.525659488
75900,5,2.6119121
75909,2,2.382757815
75909,2,2.382757815
75909,2,2.382757815
75909,12,7.047062005
75910,1,2.382757815
75917,1,2.382757815
75917,1,2.382757815
75917,3,2.382757815
75917,4,2.382757815
75917,11,4.687313719
75918,4,2.567973555
75918,3,2.382757815
75918,1,2.537477922
75918,4,2.753393673
75918,1,2.753393673
75920,3,2.537477922
75922,11,4.533969342
75923,11,4.687313719
75923,2,4.687313719
75925,4,2.567973555
75925,1,2.428994417
75925,1,2.537477922
75925,1,2.537477922
75926,1,2.626176496
75926,1,2.626176496
75932,1,2.428994417
75951,15,2.428994417
75953,2,2.626176496
75980,6,3.772552898
75984,6,2.753393673
75984,5,2.626176496
75987,4,2.626176496
75987,7,4.994310396
75987,4,4.994310396
75990,2,2.537477922
75992,1,2.567973555
75992,1,2.537477922
75992,6,2.626176496
75993,6,2.626176496
75993,6,2.567973555
75996,2,2.537477922
75997,4,2.736581766
75997,2,2.537477922
75997,2,2.567973555
75997,2,2.537477922
75998,2,2.567973555
75998,1,2.567973555
75998,1,2.537477922
76003,1,1.893769032
76003,1,1.893769032
76006,2,2.736581766
76011,3,2.537477922
76020,4,4.533969342
76020,4,4.687313719
76028,2,2.537477922
76028,2,2.567973555
76049,1,2.626176496
76056,1,2.537477922
76059,1,2.322540131
76066,1,2.477260238
76067,1,2.565958813
76079,1,2.477260238
76079,1,2.6119121
76081,1,2.506368642
76081,1,2.506368642
76081,1,2.506368642
76087,4,2.477260238
76087,1,2.477260238
76087,4,2.506368642
76089,1,2.506368642
76089,1,2.477260238
76089,1,2.506368642
76104,3,2.506368642
76126,3,2.579961892
76129,2,2.506368642
76131,1,1.76706227
76131,12,2.506368642
76131,1,1.76706227
76155,6,2.55232193
76192,1,2.753393673
76226,1,1.763517455
76231,3,4.687313719
76235,3,1.833551349
76236,3,2.506368642
76236,3,2.506368642
76239,4,2.507755872
76239,3,2.477260238
76240,3,2.639552063
76240,2,2.639552063
76240,2,2.507755872
76240,3,2.565958813
76241,2,2.507755872
76241,3,2.565958813
76242,1,2.506368642
76242,1,2.506368642
76242,1,2.262949961
76255,1,2.506368642
76266,1,25.74947786
76273,11,2.579961892
76276,3,9.13658116
76277,1,2.477260238
76283,1,2.477260238
76283,1,2.507755872
76285,6,2.507755872
76285,6,2.477260238
76285,5,2.507755872
76285,1,2.477260238
76286,1,2.55232193
76286,1,2.477260238
76286,5,2.477260238
76286,1,2.477260238
76286,1,2.507755872
76286,1,2.477260238
76287,1,2.55232193
76307,7,4.874502542
76312,6,2.507755872
76312,6,2.506368642
76323,1,2.565958813
76341,17,7.586262964
76356,1,2.626176496
76389,1,2.626176496
76389,1,2.567973555
76389,1,2.736581766
76389,1,2.626176496
76389,1,2.626176496
76389,1,2.567973555
76389,2,2.626176496
76389,1,2.626176496
76392,1,2.567973555
76398,5,2.558545356
76398,1,2.447342821
76400,2,2.447342821
76400,2,2.447342821
76401,1,2.507755872
76401,1,2.565958813
76401,1,2.565958813
76402,1,2.507755872
76403,1,2.327534967
76403,1,2.327534967
76403,1,2.506368642
76403,1,2.327534967
76442,1,2.55232193
76442,1,2.579961892
76442,1,2.55232193
76452,1,2.477260238
76452,1,2.477260238
76452,2,27.48068893
76454,1,2.506368642
76455,1,2.477260238
76458,1,1.643709601
76477,12,2.506368642
76477,1,2.477260238
76480,1,1.643709601
76483,1,2.260392356
76494,7,2.507755872
76494,1,8.955176682
76499,8,2.477260238
76499,8,2.477260238
76510,1,2.477260238
76512,1,2.477260238
76519,2,1.643709601
76520,15,27.6183721
76522,2,2.551764782
76524,2,2.537477922
76524,2,2.736581766
76526,320,56.33291865
76536,1,2.334369622
76537,1,2.44682224
76540,1,1.752573648
76543,7,4.933013739
76543,7,5.086358116
76546,7,4.00568924
76550,14,4.758189463
76551,13,2.577862099
76553,4,2.44682224
76553,3,2.44682224
76556,3,2.44682224
76561,1,2.577788304
76561,4,2.577788304
76561,4,2.577788304
76561,3,2.577788304
76585,3,2.44682224
76585,6,2.44682224
76585,6,2.44682224
76585,6,2.44682224
76586,6,2.44682224
76586,4,2.577862099
76586,4,2.477317874
76586,4,2.577862099
76587,4,2.477317874
76587,5,2.44682224
76612,1,2.44682224
76624,11,24.66051499
76624,2,2.577788304
76626,1,2.577862099
76628,1,2.567973555
76638,1,2.382757815
